date,decimal_year,Julian_Day,Year,GHIsat,GHIg
2010-10-13,2010.78082191781,286,2010,6.20394235690802,5.227
2010-10-14,2010.78356164384,287,2010,5.88411376272976,5.060175
2010-10-15,2010.78630136986,288,2010,6.07780197641818,5.17055833333333
2010-10-16,2010.78904109589,289,2010,5.79685027923537,4.60685
2010-10-17,2010.79178082192,290,2010,5.40775331179479,4.6625
2010-10-18,2010.79452054795,291,2010,5.83469752761551,4.64601666666667
2010-10-19,2010.79726027397,292,2010,5.55194879146975,4.91635
2010-10-20,2010.8,293,2010,5.6746423920964,4.76046666666667
2010-10-21,2010.80273972603,294,2010,5.48654873346074,4.5708
2010-10-23,2010.80821917808,296,2010,5.4994889061065,4.06913333333333
2010-10-24,2010.81095890411,297,2010,5.40910253069665,4.82366666666667
2010-10-25,2010.81369863014,298,2010,5.604241228671,4.59416666666667
2010-10-26,2010.81643835616,299,2010,5.53366833745935,4.97633333333333
2010-10-27,2010.81917808219,300,2010,5.54953478419178,4.70324166666667
2010-10-28,2010.82191780822,301,2010,5.34141858118935,4.82109166666667
2010-10-31,2010.8301369863,304,2010,5.20869599629444,4.73455
2010-11-02,2010.83561643836,306,2010,5.25354210486112,4.50396666666667
2010-11-03,2010.83835616438,307,2010,5.46478611876744,4.689
2010-11-04,2010.84109589041,308,2010,4.93242308147454,4.4345
2010-11-05,2010.84383561644,309,2010,5.2716605159437,4.37746666666667
2010-11-06,2010.84657534247,310,2010,4.98733557127838,4.16141666666667
2010-11-07,2010.84931506849,311,2010,5.22205941599489,4.28713333333333
2010-11-08,2010.85205479452,312,2010,5.11739855069198,4.35481666666667
2010-11-09,2010.85479452055,313,2010,4.95519394691757,4.21613333333333
2010-11-10,2010.85753424658,314,2010,4.96394564352436,4.03045833333333
2010-11-11,2010.8602739726,315,2010,4.72492488195968,3.99751666666667
2010-11-12,2010.86301369863,316,2010,4.93048539610331,3.95505
2010-11-14,2010.86849315069,318,2010,4.87827384635648,4.09920833333333
2010-11-17,2010.87671232877,321,2010,4.67010055128111,3.72845
